City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,6.65,76,97,3.03,NZ,1697479308
1,dellys,36.9172,3.9131,23.16,61,47,2.75,DZ,1697479308
2,grytviken,-54.2811,-36.5092,0.63,77,29,5.14,GS,1697479308
3,gadzhiyevo,69.2551,33.3362,3.25,86,100,13.48,RU,1697479309
4,tazovsky,67.4667,78.7,-0.41,97,100,2.5,RU,1697479309
5,adamstown,-25.066,-130.1015,21.23,85,57,4.44,PN,1697479309
6,horta,38.5333,-28.6333,22.8,75,20,4.12,PT,1697479309
7,bethel,41.3712,-73.414,17.11,65,88,0.45,US,1697479309
8,rio gallegos,-51.6226,-69.2181,11.03,37,0,8.23,AR,1697479310
9,ushuaia,-54.8,-68.3,8.81,54,75,4.63,AR,1697479295
10,osmanabad,18.1667,76.05,24.97,55,71,3.59,IN,1697479219
11,tiksi,71.6872,128.8694,-11.34,89,96,4.85,RU,1697479311
12,nikolayevsk-on-amure,53.1406,140.73,7.57,94,100,2.14,RU,1697479311
13,morant bay,17.8815,-76.4093,32.06,73,87,2.71,JM,1697479311
14,albany,42.6001,-73.9662,14.65,65,78,3.73,US,1697479159
15,edinburgh of the seven seas,-37.0676,-12.3116,12.4,67,7,2.15,SH,1697479312
16,talnakh,69.4865,88.3972,-1.55,97,100,2.87,RU,1697479312
17,isafjordur,66.0755,-23.124,3.02,75,20,5.66,IS,1697479313
18,khuzdar,27.7384,66.6434,20.93,36,1,2.23,PK,1697479313
19,blackmans bay,-43.0167,147.3167,4.07,86,20,0.45,AU,1697479313
20,yellowknife,62.456,-114.3525,6.34,100,100,5.66,CA,1697479274
21,kapshagay,43.8833,77.0833,9.89,52,1,1.46,KZ,1697479313
22,bilibino,68.0546,166.4372,-10.58,97,99,1.07,RU,1697479314
23,port-aux-francais,-49.35,70.2167,3.35,85,92,12.25,TF,1697479314
24,olonkinbyen,70.9221,-8.7187,0.58,83,100,6.18,SJ,1697479314
25,iqaluit,63.7506,-68.5145,-3.15,63,20,4.12,CA,1697479314
26,barranquilla,10.9639,-74.7964,26.88,83,20,1.03,CO,1697479127
27,shengli,37.4564,118.4856,14.61,47,0,3.06,CN,1697479314
28,georgetown,5.4112,100.3354,26.96,89,20,1.03,MY,1697479159
29,iskateley,67.6803,53.1512,3.9,93,95,5.81,RU,1697479315
30,ust-nera,64.5667,143.2,-21.86,99,53,1.49,RU,1697479315
31,puerto natales,-51.7236,-72.4875,13.25,44,40,14.4,CL,1697479315
32,stanley,54.868,-1.6985,7.1,83,0,1.03,GB,1697479315
33,riyadh,24.6877,46.7219,31.08,11,0,3.88,SA,1697479201
34,nampula,-15.1165,39.2666,28.78,69,0,7.6,MZ,1697479316
